gamma_eff_over_gf,tau_Q_opt_from_P_B_max,P_B_max_opt_over_omega0F2
0.0,1000.0,995.0740457086716
0.0001,1000.0,946.770558544112
0.001,1000.0,616.4142180195445
0.01,254.33457613046508,81.38866621881493
0.02,120.52609368708426,40.6617360923016
0.03,82.96958520834914,27.1279287097787
0.04,64.68607661546328,20.33732125116026
0.05,50.431594871713585,16.281390478093236
0.06,39.3182875570577,13.548171852604858
0.07,34.71686818926563,11.62468280411048
0.08,30.653952950565298,10.172328458042935
0.09,27.06652070033241,9.039045770977879
0.1,23.898925662310504,8.132164959637722
